iter	Passed	Remaining
0	5	5181
1	5	2837
2	6	2070
3	6	1715
4	7	1434
5	7	1254
6	7	1129
7	8	1025
8	8	946
9	8	880
10	9	829
11	9	802
12	10	760
13	10	725
14	10	701
15	11	679
16	11	659
17	11	641
18	12	626
19	12	613
20	12	598
21	13	583
22	13	573
23	13	562
24	14	550
25	14	540
26	14	531
27	15	521
28	15	514
29	15	507
30	16	501
31	16	494
32	16	490
33	17	483
34	17	478
35	17	475
36	18	472
37	18	470
38	19	469
39	19	468
40	20	468
41	20	465
42	20	463
43	21	461
44	21	461
45	22	460
46	22	458
47	22	455
48	23	452
49	23	452
50	24	451
51	24	447
52	24	444
53	25	441
54	25	439
55	26	438
56	26	437
57	26	434
58	27	432
59	27	428
60	27	425
61	27	423
62	28	420
63	28	418
64	28	415
65	29	414
66	29	412
67	30	412
68	30	410
69	30	408
70	31	406
71	31	405
72	31	405
73	32	404
74	32	403
75	33	403
76	33	401
77	33	400
78	34	399
79	34	398
80	35	398
81	35	398
82	35	395
83	36	393
84	36	393
85	36	391
86	37	390
87	37	388
88	37	388
89	38	388
90	38	388
91	39	387
92	39	386
93	40	386
94	40	384
95	41	387
96	41	387
97	42	387
98	42	386
99	42	385
100	43	384
101	43	383
102	43	381
103	44	381
104	44	379
105	44	378
106	45	376
107	45	375
108	45	374
109	46	372
110	46	371
111	46	370
112	46	368
113	47	368
114	47	368
115	48	368
116	48	367
117	49	367
118	49	366
119	49	366
120	50	365
121	50	364
122	50	363
123	51	362
124	51	361
125	52	361
126	52	359
127	52	358
128	53	358
129	53	357
130	53	357
131	54	355
132	54	354
133	54	353
134	55	352
135	55	351
136	55	350
137	55	349
138	56	349
139	56	350
140	57	349
141	57	347
142	57	347
143	58	347
144	58	346
145	58	345
146	59	343
147	59	343
148	59	342
149	60	341
150	60	341
151	61	340
152	61	340
153	61	339
154	62	338
155	62	338
156	63	338
157	63	338
158	63	337
159	64	337
160	64	336
161	65	336
162	65	335
163	65	334
164	66	334
165	66	333
166	66	333
167	67	333
168	67	332
169	67	331
170	68	330
171	68	330
172	69	329
173	69	330
174	69	329
175	70	328
176	70	328
177	71	327
178	71	327
179	71	326
180	72	326
181	72	325
182	72	325
183	73	324
184	73	323
185	73	322
186	74	322
187	74	321
188	74	321
189	75	321
190	75	320
191	75	319
192	76	319
193	76	319
194	77	318
195	77	318
196	78	318
197	78	318
198	78	317
199	79	316
200	79	316
201	79	315
202	80	315
203	80	314
204	81	315
205	81	314
206	82	314
207	82	314
208	82	313
209	83	312
210	83	312
211	83	311
212	84	311
213	84	310
214	84	309
215	85	309
216	85	308
217	85	307
218	86	307
219	86	306
220	86	306
221	87	305
222	87	305
223	87	304
224	88	304
225	88	303
226	89	303
227	89	302
228	89	302
229	90	301
230	90	301
231	91	301
232	91	301
233	91	300
234	92	299
235	92	299
236	92	298
237	93	298
238	93	297
239	93	297
240	94	297
241	94	296
242	95	296
243	95	295
244	95	295
245	96	295
246	96	295
247	97	294
248	97	294
249	97	293
250	98	292
251	98	292
252	98	292
253	99	291
254	99	291
255	100	290
256	100	291
257	101	290
258	101	290
259	101	289
260	102	289
261	102	289
262	102	288
263	103	287
264	103	287
265	103	286
266	104	286
267	104	286
268	105	285
269	105	285
270	105	284
271	106	284
272	106	284
273	107	283
274	107	283
275	107	283
276	108	282
277	108	281
278	108	281
279	109	280
280	109	280
281	109	279
282	110	279
283	110	278
284	111	278
285	111	278
286	111	278
287	112	278
288	112	277
289	113	277
290	113	277
291	114	277
292	114	276
293	114	275
294	115	275
295	115	275
296	116	274
297	116	274
298	116	274
299	117	273
300	117	273
301	118	272
302	118	272
303	118	271
304	119	271
305	119	270
306	119	270
307	120	269
308	120	269
309	120	269
310	121	268
311	121	268
312	121	267
313	122	267
314	122	266
315	122	265
316	123	265
317	123	264
318	123	264
319	124	263
320	124	263
321	124	262
